Id,Outer solver,Preconditioner,Factorization,Mechanics,Flow,Numerical parameters,Group
1,GMRES,Schur,Lower,AMG,AMG,,Schur
2,GMRES,Schur,Upper,AMG,AMG,,Schur
3,GMRES,Schur,Full,AMG,AMG,,Schur
4,GMRES,CPR,,,AMG,,CPR
5,FGMRES,Schur,Lower,GMRES + AMG,GMRES + AMG,"2x Inner GMRES restart [5, 30]",Schur GMRES
6,FGMRES,Schur,Lower,AMG,GMRES + AMG,"Inner GMRES restart [5, 30]",Schur GMRES
7,FGMRES,Schur,Lower,GMRES + AMG,AMG,"Inner GMRES restart [5, 30]",Schur GMRES
8,FGMRES,Schur,Lower,AMG,AMG,,Schur
9,FGMRES,Schur,Upper,GMRES + AMG,GMRES + AMG,"2x Inner GMRES restart [5, 30]",Schur GMRES
10,FGMRES,Schur,Upper,AMG,GMRES + AMG,"Inner GMRES restart [5, 30]",Schur GMRES
11,FGMRES,Schur,Upper,GMRES + AMG,AMG,"Inner GMRES restart [5, 30]",Schur GMRES
12,FGMRES,Schur,Upper,AMG,AMG,,Schur
13,FGMRES,Schur,Full,GMRES + AMG,GMRES + AMG,"2x Inner GMRES restart [5, 30]",Schur GMRES
14,FGMRES,Schur,Full,AMG,GMRES + AMG,"Inner GMRES restart [5, 30]",Schur GMRES
15,FGMRES,Schur,Full,GMRES + AMG,AMG,"Inner GMRES restart [5, 30]",Schur GMRES
16,FGMRES,Schur,Full,AMG,AMG,,Schur
17,FGMRES,CPR,,,AMG,,CPR
18,FGMRES,CPR,,,GMRES + AMG,"Inner GMRES restart [5, 30]",CPR GMRES
19,Direct,,,,,,Direct
